carat,cut,color,clarity,depth,table,x,y,z,price
0.31,Good,J,SI2,63.3,58.0,4.34,4.35,2.75,335
0.22,Fair,E,VS2,65.1,61.0,3.87,3.78,2.49,337
0.3,Good,J,SI1,64.0,55.0,4.25,4.28,2.73,339
0.3,Good,J,SI1,63.4,54.0,4.23,4.29,2.7,351
0.23,Very Good,G,VVS2,60.4,58.0,3.97,4.01,2.41,354
0.24,Premium,I,VS1,62.5,57.0,3.97,3.94,2.47,355
0.23,Very Good,D,VS2,60.5,61.0,3.96,3.97,2.4,357
0.23,Very Good,E,VS1,59.5,58.0,4.01,4.06,2.4,402
0.31,Very Good,G,SI1,63.3,57.0,4.33,4.3,2.73,553
0.24,Very Good,D,VVS1,61.5,60.0,3.97,4.0,2.45,553
0.3,Good,H,SI1,63.7,57.0,4.28,4.26,2.72,554
0.26,Very Good,F,VVS2,59.2,60.0,4.19,4.22,2.49,554
0.26,Very Good,D,VVS2,62.4,54.0,4.08,4.13,2.56,554
0.26,Very Good,D,VVS2,62.8,60.0,4.01,4.05,2.53,554
0.26,Very Good,D,VVS1,62.1,60.0,4.03,4.12,2.53,554
0.7,Good,F,VS1,59.4,62.0,5.71,5.76,3.4,2759
0.75,Premium,G,VS2,61.7,58.0,5.85,5.79,3.59,2760
0.74,Ideal,I,VVS2,62.3,55.0,5.77,5.81,3.61,2761
0.8,Ideal,F,SI2,61.4,57.0,5.96,6.0,3.67,2761
0.73,Ideal,F,VS2,62.7,53.0,5.8,5.75,3.62,2762
0.7,Ideal,E,VS2,60.7,58.0,5.73,5.76,3.49,2762
0.91,Fair,H,SI2,64.4,57.0,6.11,6.09,3.93,2763
0.7,Very Good,E,VS2,62.6,60.0,5.62,5.65,3.53,2765
0.77,Very Good,H,VS1,61.3,60.0,5.88,5.9,3.61,2765
0.74,Ideal,I,SI1,61.3,56.0,5.82,5.86,3.57,2769
0.71,Premium,D,VS2,62.5,60.0,5.65,5.61,3.52,2770
0.73,Premium,G,VS2,61.4,59.0,5.83,5.76,3.56,2770
0.79,Ideal,F,SI2,61.9,55.0,5.97,5.92,3.68,2771
0.8,Very Good,F,SI2,61.0,57.0,6.01,6.03,3.67,2772
0.58,Ideal,G,VVS1,61.5,55.0,5.39,5.44,3.33,2772
0.58,Ideal,F,VVS1,61.7,56.0,5.33,5.37,3.3,2772
0.75,Ideal,D,SI2,61.3,56.0,5.85,5.89,3.6,2773
1.17,Very Good,J,I1,60.2,61.0,6.83,6.9,4.13,2774
0.72,Very Good,G,VS2,63.7,56.4,5.62,5.69,3.61,2776
0.71,Ideal,E,VS2,62.2,57.0,5.79,5.62,3.55,2776
0.54,Ideal,E,VVS2,61.6,56.0,5.25,5.27,3.24,2776
0.54,Ideal,E,VVS2,61.5,57.0,5.24,5.26,3.23,2776
0.72,Ideal,G,SI1,61.8,56.0,5.72,5.75,3.55,2776
0.71,Premium,F,VS2,62.1,58.0,5.67,5.7,3.53,2777
0.7,Premium,E,VS2,61.1,60.0,5.71,5.64,3.47,2777
0.7,Premium,E,SI1,62.7,59.0,5.67,5.63,3.54,2777
0.7,Ideal,E,SI1,61.4,57.0,5.76,5.7,3.52,2777
0.7,Very Good,E,SI1,59.9,63.0,5.76,5.7,3.43,2777
0.7,Very Good,F,VS2,63.6,57.0,5.61,5.65,3.58,2780
0.71,Ideal,F,VS2,62.1,54.0,5.68,5.72,3.54,2780
0.7,Ideal,G,VS1,61.4,59.0,5.64,5.73,3.49,2780
1.01,Premium,F,I1,61.8,60.0,6.39,6.36,3.94,2781
0.53,Very Good,D,VVS2,57.5,64.0,5.34,5.37,3.08,2782
0.7,Premium,E,VS1,62.9,60.0,5.62,5.54,3.51,2782
0.72,Ideal,D,SI1,60.8,57.0,5.76,5.75,3.5,2782
0.72,Very Good,F,VS2,63.0,54.0,5.69,5.73,3.6,2784
0.51,Ideal,F,VVS1,62.0,57.0,5.11,5.15,3.18,2787
1.01,Premium,H,SI2,62.7,59.0,6.31,6.22,3.93,2788
0.77,Good,F,SI1,64.2,52.0,5.81,5.77,3.72,2789
0.76,Good,E,SI1,63.7,54.0,5.76,5.85,3.7,2789
0.76,Premium,E,SI1,61.8,58.0,5.82,5.86,3.61,2789
0.81,Good,G,SI2,61.0,61.0,5.94,5.99,3.64,2789
0.63,Premium,E,VVS1,60.9,60.0,5.55,5.52,3.37,2789
1.05,Fair,J,SI2,65.8,59.0,6.41,6.27,4.18,2789
0.64,Ideal,G,IF,61.3,56.0,5.54,5.58,3.41,2790
0.76,Premium,I,VVS1,58.8,59.0,6.0,5.94,3.51,2790
0.71,Premium,E,SI1,59.2,59.0,5.83,5.86,3.46,2792
0.7,Premium,F,VS1,62.1,60.0,5.71,5.65,3.53,2792
0.7,Very Good,E,VS2,62.9,57.0,5.66,5.69,3.57,2793
0.81,Premium,H,VS2,58.0,59.0,6.17,6.13,3.57,2795
0.74,Ideal,H,VS1,61.8,58.0,5.77,5.81,3.58,2797
0.8,Premium,F,SI2,61.0,57.0,6.03,6.01,3.67,2797
0.7,Premium,E,VS1,62.2,58.0,5.6,5.66,3.5,2800
0.74,Premium,G,VS1,62.9,60.0,5.74,5.68,3.59,2800
0.73,Ideal,F,VS2,62.5,55.0,5.8,5.76,3.61,2801
0.71,Premium,F,VS2,62.1,58.0,5.7,5.67,3.53,2801
0.87,Very Good,G,SI2,59.9,58.0,6.19,6.23,3.72,2802
0.7,Very Good,F,VS2,62.9,58.0,5.63,5.65,3.55,2803
0.71,Very Good,E,VS2,64.0,57.0,5.66,5.68,3.63,2804
0.8,Very Good,E,SI2,62.5,56.0,5.88,5.96,3.7,2804
0.72,Very Good,F,VS1,62.2,58.0,5.75,5.7,3.56,2804
0.73,Ideal,E,SI2,61.8,58.0,5.77,5.81,3.58,2805
0.82,Good,G,VS2,64.0,57.0,5.92,5.89,3.78,2805
0.75,Very Good,H,VVS1,60.6,58.0,5.85,5.9,3.56,2806
0.8,Very Good,H,VS2,62.8,57.0,5.87,5.91,3.7,2808
0.74,Ideal,D,SI2,61.7,55.0,5.81,5.85,3.6,2810
1.0,Fair,J,VS2,65.7,59.0,6.14,6.07,4.01,2811
0.99,Fair,I,SI2,68.1,56.0,6.21,6.06,4.18,2811
0.32,Premium,I,SI1,61.0,59.0,4.39,4.36,2.67,554
0.32,Very Good,I,SI1,63.1,56.0,4.39,4.36,2.76,554
0.32,Ideal,I,SI1,60.7,57.0,4.47,4.42,2.7,554
0.3,Premium,H,SI1,60.1,55.0,4.41,4.38,2.64,554
0.3,Premium,H,SI1,62.9,58.0,4.28,4.24,2.68,554
0.32,Good,I,SI1,63.9,55.0,4.36,4.34,2.78,554
0.31,Very Good,F,SI1,61.8,58.0,4.32,4.35,2.68,555
0.34,Ideal,H,VS2,61.5,56.0,4.47,4.5,2.76,555
0.32,Very Good,F,VS2,61.4,58.0,4.37,4.42,2.7,556
0.26,Ideal,E,VS1,61.5,57.0,4.09,4.12,2.52,556
0.76,Premium,E,SI1,62.2,59.0,5.86,5.81,3.63,2814
0.95,Fair,F,SI2,56.0,60.0,6.62,6.53,3.68,2815
0.78,Premium,F,SI1,61.5,59.0,5.96,5.88,3.64,2816
0.83,Ideal,H,SI1,62.5,55.0,6.04,6.0,3.76,2816
0.71,Good,E,SI1,62.8,64.0,5.6,5.54,3.5,2817
0.7,Premium,E,VS1,59.6,57.0,5.91,5.83,3.5,2818
0.72,Very Good,G,VS1,63.8,58.0,5.64,5.68,3.61,2819
0.7,Good,F,VS1,59.7,63.0,5.76,5.79,3.45,2819
0.71,Ideal,G,VS1,62.9,58.0,5.66,5.69,3.57,2820
0.73,Premium,E,SI1,61.3,58.0,5.83,5.76,3.55,2821
0.73,Good,E,SI1,63.6,57.0,5.72,5.7,3.63,2821
0.73,Premium,E,SI1,59.6,61.0,5.92,5.85,3.51,2821
0.7,Premium,E,VS1,60.8,60.0,5.74,5.71,3.48,2822
0.72,Premium,E,VS2,62.4,59.0,5.77,5.7,3.58,2822
0.7,Premium,D,SI1,60.2,60.0,5.82,5.75,3.48,2822
0.7,Ideal,D,SI1,60.7,56.0,5.75,5.72,3.48,2822
0.7,Premium,E,VS2,60.7,62.0,5.72,5.68,3.46,2822
0.79,Very Good,D,SI2,62.8,59.0,5.86,5.9,3.69,2823
0.74,Good,E,VS1,63.1,58.0,5.73,5.75,3.62,2824
0.82,Ideal,F,SI2,62.4,54.0,6.02,5.97,3.74,2824
0.82,Premium,E,SI2,60.8,60.0,6.05,6.03,3.67,2824
0.83,Premium,H,SI1,62.5,59.0,6.02,5.95,3.74,2825
0.91,Fair,H,SI2,61.3,67.0,6.24,6.19,3.81,2825
0.7,Very Good,D,VS2,63.3,56.0,5.6,5.58,3.54,2826
0.78,Premium,F,SI1,60.8,60.0,5.97,5.94,3.62,2826
